CREATE DATABASE IF NOT EXISTS dummyweatherdatadb;
USE dummyweatherdatadb;
DROP TABLE IF EXISTS weatherdata;
CREATE TABLE IF NOT EXISTS weatherdata (date DATE NOT NULL, time TIME NOT NULL, temperature FLOAT(24) NOT NULL);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 000000, 19.570177154875864);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 090000, 21.972384905252895);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 091500, 22.112080334864487);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 093000, 22.207788487443686);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 094500, 22.35229298347824);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 100000, 22.499851648320742);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 101500, 22.597772734400216);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 103000, 22.702827907442973);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 104500, 22.91274794128345);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 110000, 22.842512742244406);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 111500, 23.18530614403427);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 113000, 23.278003994388744);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 114500, 23.224058015944863);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 120000, 23.198008563741084);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 121500, 23.45449719711862);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 123000, 23.563458802056164);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 124500, 23.68919863015601);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 130000, 23.63975512586625);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 131500, 23.786744661389932);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 133000, 23.953846802366208);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 134500, 23.922347578170108);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 140000, 23.931351966545265);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 141500, 24.173263232156522);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 143000, 24.506021012463556);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 144500, 23.865293466270156);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 150000, 24.212160372574026);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 151500, 24.59086501694015);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 153000, 24.272545159341846);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 154500, 24.491810443008156);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 160000, 24.56149722627727);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 161500, 24.461189787998276);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 163000, 24.11436620302692);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 164500, 24.51840825689497);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 170000, 24.03821236091529);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 171500, 23.828674385476894);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 173000, 24.313979142309908);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 174500, 23.699043532708743);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 180000, 23.897919535563105);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 181500, 23.60955472386551);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 183000, 23.653434290854676);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 184500, 23.435115891723022);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 190000, 23.60337507542256);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 191500, 23.492026203763235);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 193000, 23.37730641496399);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 194500, 23.321132673833116);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 200000, 23.041503969295007);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 201500, 23.007860781347812);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 203000, 22.7376986870993);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 204500, 22.691878614349406);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 210000, 22.500027521538353);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 211500, 22.440976223609432);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 213000, 22.275722313672325);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 214500, 22.150609559624733);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 220000, 22.032088427171534);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 221500, 21.834865203211407);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 223000, 21.771636074590823);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 224500, 21.61210361219473);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 230000, 21.374504734318673);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 231500, 21.551157917392477);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 233000, 21.16051623876616);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190804', 234500, 21.345897998433024);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 000000, 20.902314622579386);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 001500, 21.20213459391886);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 003000, 20.837768234743482);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 004500, 20.793942225965193);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 010000, 20.656507032366875);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 011500, 20.6079207524171);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 013000, 20.76949928755085);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 014500, 20.684360528563428);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 020000, 20.387703471786025);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 021500, 20.37032886090674);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 023000, 20.276230433105983);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 024500, 20.57071722512325);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 030000, 20.19281601983795);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 031500, 20.471019055922884);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 033000, 19.91188405161953);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 034500, 19.95823877790771);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 040000, 20.594732910889082);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 041500, 20.4781535277041);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 043000, 20.650123810688896);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 044500, 20.489031084844576);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 050000, 20.552244746478653);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 051500, 20.44161957171997);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 053000, 20.380867002757107);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 054500, 20.448929128014843);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 060000, 20.758082770558207);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 061500, 20.617691867524414);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 063000, 20.9028608211259);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 064500, 21.015265540343574);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 070000, 20.84728807486638);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 071500, 21.19307705754641);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 073000, 21.438554488223286);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 074500, 21.438802939475966);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 080000, 21.486476147769913);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 081500, 21.495576510938655);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 083000, 21.83900399508945);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 084500, 21.849212507511915);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 090000, 21.956937692432216);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 091500, 22.098379774480737);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 093000, 22.250099523301532);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 094500, 22.364935183143245);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 100000, 22.501018991112222);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 101500, 22.580953097311333);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 103000, 22.733189565857053);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 104500, 22.847376834974284);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 110000, 22.927958764300204);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 111500, 23.065528478910746);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 113000, 23.195855984009032);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 114500, 23.47463740079223);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 120000, 23.411165717999374);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 121500, 23.39616861350909);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 123000, 23.71241689691795);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 124500, 23.889645032514917);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 130000, 24.120973153923654);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 131500, 23.995805743714058);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 133000, 24.270649032007977);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 134500, 23.848426682198767);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 140000, 23.829169952834828);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 141500, 24.389956351097595);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 143000, 24.25486975762565);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 144500, 24.298317075251205);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 150000, 23.949398851731885);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 151500, 24.100306297488352);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 153000, 24.523695889504953);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 154500, 24.370948527737845);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 160000, 24.40341315519656);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 161500, 24.407119271395597);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 163000, 24.208311145469462);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 164500, 24.563687260597877);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 170000, 24.405347176022204);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 171500, 24.109406211344652);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 173000, 24.093681069865223);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 174500, 23.75523856158198);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 180000, 24.20401911705526);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 181500, 24.084463934836474);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 183000, 23.556240825179117);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 184500, 23.74002079937743);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 190000, 23.421107061391638);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 191500, 23.607484519666215);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 193000, 23.374626004289063);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 194500, 23.402203189777047);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 200000, 22.99913177120463);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 201500, 22.9529927842799);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 203000, 22.818198047100548);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 204500, 22.696657568498754);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 210000, 22.678836948361635);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 211500, 22.52557678694608);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 213000, 22.361060172732145);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 214500, 22.229240946568158);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 220000, 22.120967462646057);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 221500, 21.98580275063996);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 223000, 21.901914242471573);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 224500, 21.815417916139175);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 230000, 21.59849270032792);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 231500, 21.35736797550299);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 233000, 21.268440045481412);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190805', 234500, 21.43783761153113);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 000000, 21.10736418180704);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 001500, 20.984702253807217);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 003000, 21.24106035050018);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 004500, 20.604852554955293);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 010000, 20.533722082156775);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 011500, 20.726675419774015);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 013000, 20.617505914995338);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 014500, 20.303933636153694);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 020000, 20.82738185297048);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 021500, 20.45840577912813);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 023000, 20.523399653984544);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 024500, 20.30856119814495);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 030000, 20.53318075102178);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 031500, 20.195975321570646);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 033000, 20.302759823930526);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 034500, 20.55622538385756);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 040000, 20.42702856954396);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 041500, 20.041380798707813);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 043000, 20.713066840064005);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 044500, 20.268281577245578);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 050000, 20.2758143304399);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 051500, 20.401159779403088);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 053000, 20.758419867336023);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 054500, 20.96995361117039);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 060000, 21.004595421020657);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 061500, 20.685262951867095);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 063000, 20.66963648986563);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 064500, 20.75523802539641);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 070000, 20.909685217651525);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 071500, 21.43099231881583);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 073000, 21.406899789392728);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 074500, 21.578714945099364);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 080000, 21.530594295633517);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 081500, 21.70890953478827);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 083000, 21.696703099997933);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 084500, 21.955447514320383);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 090000, 22.106330293434436);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 091500, 22.18229016678131);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 093000, 22.320298150116642);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 094500, 22.456625982852938);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 100000, 22.55598112946564);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 101500, 22.660335349862528);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 103000, 22.913660055524876);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 104500, 22.91879767653587);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 110000, 23.219327097943633);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 111500, 23.101993165460637);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 113000, 23.23722123083897);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 114500, 23.61117078977459);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 120000, 23.418216939459583);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 121500, 23.480158361176603);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 123000, 24.015019717557433);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 124500, 23.903119079021355);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 130000, 23.862499003807166);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 131500, 24.34942291284205);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 133000, 24.149424627468274);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 134500, 24.488708862702467);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 140000, 24.45959147313571);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 141500, 24.01930387846803);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 143000, 24.414709605533915);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 144500, 24.61304334401718);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 150000, 24.597861266209563);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 151500, 24.50045244337028);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 153000, 24.469502874845325);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 154500, 24.728330069539314);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 160000, 24.068954166086368);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 161500, 24.59693426437915);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 163000, 24.036247744018343);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 164500, 24.04750226435939);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 170000, 24.268711592953856);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 171500, 24.126167459082776);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 173000, 24.240877891517076);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 174500, 24.222817156504313);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 180000, 23.72147129006187);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 181500, 23.909027995179397);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 183000, 23.941483870807097);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 184500, 23.668959639688982);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 190000, 23.845334272392048);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 191500, 23.58832705981104);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 193000, 23.58680283236911);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 194500, 23.225278609653074);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 200000, 23.08123004672046);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 201500, 23.16972174090282);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 203000, 22.979831566771956);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 204500, 22.78047075873061);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 210000, 22.705911342514057);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 211500, 22.574969361377857);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 213000, 22.471801315882267);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 214500, 22.35416034131461);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 220000, 22.213581692738806);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 221500, 22.12661780363604);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 223000, 21.91946317236591);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 224500, 21.760163522480216);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 230000, 21.759823684509374);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 231500, 21.44630644126845);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 233000, 21.334129521141808);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190806', 234500, 21.37971456297666);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 000000, 21.376576873993447);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 001500, 21.277260854416955);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 003000, 21.21627701290723);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 004500, 21.034496163458364);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 010000, 20.632272551163517);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 011500, 20.703408451208155);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 013000, 20.641364617076533);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 014500, 20.90648158501842);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 020000, 20.393402909987056);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 021500, 20.648041627231873);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 023000, 20.41371337683666);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 024500, 20.245154671206627);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 030000, 20.27187309692859);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 031500, 20.343266906776577);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 033000, 20.54896185996487);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 034500, 20.415878581306384);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 040000, 20.10261796895674);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 041500, 20.20402036439937);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 043000, 20.306449481464846);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 044500, 20.272401511507454);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 050000, 20.86557487131843);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 051500, 20.888511915177272);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 053000, 20.955883800629604);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 054500, 21.044418123263124);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 060000, 20.72334754242774);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 061500, 20.77804876024574);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 063000, 20.828438121984963);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 064500, 21.273889688386742);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 070000, 21.174113297717994);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 071500, 21.416469406822376);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 073000, 21.18313269017836);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 074500, 21.386513148638507);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 080000, 21.656201421664143);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 081500, 21.624610491977826);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 083000, 21.862659490038475);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 084500, 21.951709747600678);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 090000, 22.137187319908225);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 091500, 22.276660502564027);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 093000, 22.377025312561976);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 094500, 22.50098232028186);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 100000, 22.655475160666207);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 101500, 22.717051565593316);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 103000, 22.952258924000347);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 104500, 23.0407051710654);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 110000, 23.244585950491913);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 111500, 23.327122079459865);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 113000, 23.32908482698891);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 114500, 23.384952773402265);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 120000, 23.479253601244665);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 121500, 23.77082640438147);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 123000, 23.84480080273407);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 124500, 24.198341575705356);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 130000, 23.844759805231526);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 131500, 23.985675603303868);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190807', 133000, 24.064295583967684);
